StockCode,NewDescription,TotalSales,TotalVolume,UnitPrice,CustomerInteraction,CountryChannels,FirstPurchasedDate,LastPurchasedDate
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,0.8460000000000001,41,6,2010-12-01 12:15:00,2011-12-09 12:31:00
16020C,CLEAR STATIONERY BOX SET ,69.89999999999999,84,0.8335294117647059,1,1,2011-03-02 17:33:00,2011-07-05 17:09:00
16033,MINI HIGHLIGHTER PENS,100.79999999999998,840,0.12,4,1,2010-12-12 10:48:00,2011-02-17 15:40:00
16043,POP ART PUSH DOWN RUBBER ,11.759999999999998,98,0.12,2,1,2011-06-07 10:44:00,2011-06-09 19:33:00
16045,POPART WOODEN PENCILS ASST,380.0,8900,0.043478260869565216,61,4,2010-12-22 14:28:00,2011-12-05 12:08:00
16046,TEATIME PEN CASE & PENS,57.8,68,0.85,13,1,2010-12-02 11:35:00,2011-11-28 11:26:00
16048,TEATIME ROUND PENCIL SHARPENER ,205.42,1461,0.32507246376811594,41,7,2010-12-10 09:51:00,2011-12-08 09:28:00
16049,TEATIME GEL PENS ASST,82.08,504,0.24,5,1,2011-04-26 11:51:00,2011-05-25 11:44:00
16052,TEATIME PUSH DOWN RUBBER,115.3,479,0.5892307692307692,5,2,2010-12-07 15:28:00,2011-06-09 19:33:00
16054,POPART RECT PENCIL SHARPENER ASST,140.52,1166,0.1290909090909091,29,4,2010-12-10 11:33:00,2011-12-04 13:59:00
16151A,FLOWERS HANDBAG blue and orange,61.25,49,1.25,3,1,2011-05-11 12:32:00,2011-05-25 10:02:00
16156L,WRAP CAROUSEL,199.5,475,0.42,17,7,2011-01-07 09:40:00,2011-12-02 10:22:00
16156S,WRAP PINK FAIRY CAKES ,2331.0,5800,0.4168862275449102,135,9,2010-12-02 13:44:00,2011-12-08 12:29:00
16161G,WRAP BAD HAIR DAY,70.0,700,0.1,22,4,2011-03-15 11:45:00,2011-11-24 11:19:00
16161M,WRAP  PINK FLOCK,10.5,25,0.42,1,1,2010-12-02 18:15:00,2010-12-02 18:15:00
16161P,WRAP ENGLISH ROSE ,2990.92,7226,0.41943775100401604,189,18,2010-12-02 18:08:00,2011-12-07 11:43:00
16161U,WRAP SUKI AND FRIENDS,1687.5,4075,0.41955223880597015,105,10,2010-12-05 14:45:00,2011-12-02 16:34:00
16162L,THE KING GIFT BAG,13.0,20,0.65,5,1,2011-01-11 14:46:00,2011-09-13 11:14:00
16162M,THE KING GIFT BAG 25x24x12cm,11.76,28,0.42,6,1,2011-07-19 12:47:00,2011-11-27 13:26:00
16168M,FUNKY MONKEY GIFT BAG MEDIUM,173.12,371,0.6314634146341463,19,2,2010-12-01 17:06:00,2011-12-08 16:22:00
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,0.41919999999999996,143,9,2011-07-21 13:06:00,2011-12-09 10:20:00
16169K,WRAP FOLK ART,84.0,200,0.42,8,3,2010-12-06 15:54:00,2011-09-28 16:07:00
16169M,WRAP DAISY CARPET ,277.2,660,0.42,24,2,2011-01-05 13:40:00,2011-12-02 10:22:00
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,25,0.42,1,1,2010-12-06 12:06:00,2010-12-06 12:06:00
16169P,WRAP GREEN RUSSIAN FOLKART ,21.0,50,0.42,2,1,2010-12-10 11:24:00,2010-12-19 11:35:00
16202A,PASTEL PINK PHOTO ALBUM ,3.5,7,0.5,2,1,2011-03-11 14:35:00,2011-04-17 13:43:00
16202B,PASTEL BLUE PHOTO ALBUM ,14.5,29,0.5,2,1,2011-04-17 13:43:00,2011-04-19 14:49:00
16202E,BLACK PHOTO ALBUM ,7.5,15,0.5,3,1,2011-04-04 16:36:00,2011-04-17 13:43:00
16206B,RED PURSE WITH PINK HEART,8.75,7,1.25,2,2,2010-12-23 16:06:00,2011-01-26 12:29:00
16207A,PINK STRAWBERRY HANDBAG ,163.1,60,2.751764705882353,4,1,2010-12-19 14:41:00,2011-11-06 16:14:00
16207B,PINK HEART RED HANDBAG,76.14,29,2.6994444444444445,3,1,2011-01-11 12:41:00,2011-08-30 10:49:00
16216,LETTER SHAPE PENCIL SHARPENER,234.0,3333,0.15244444444444444,38,2,2010-12-12 13:47:00,2011-12-07 12:41:00
16218,CARTOON  PENCIL SHARPENERS,283.31,3821,0.26984375,43,4,2010-12-03 11:36:00,2011-12-09 10:03:00
16219,HOUSE SHAPE PENCIL SHARPENER,407.71999999999997,3048,0.5172,41,5,2010-12-07 15:28:00,2011-12-08 09:20:00
16225,RATTLE SNAKE EGGS,691.85,815,1.4593269230769232,57,2,2010-12-03 11:36:00,2011-12-09 10:03:00
16235,RECYCLED PENCIL WITH RABBIT ERASER,702.96,3104,0.31585798816568045,68,4,2010-12-02 12:16:00,2011-12-09 10:03:00
16236,KITTY PENCIL ERASERS,320.09,1438,0.30455882352941177,59,7,2010-12-01 14:32:00,2011-12-08 11:43:00
16237,SLEEPING CAT ERASERS,1048.56,4994,0.29757575757575755,109,6,2010-12-01 11:41:00,2011-12-09 10:03:00
16238,PARTY TIME PENCIL ERASERS,322.09,1398,0.3108823529411765,61,6,2010-12-01 11:45:00,2011-12-08 11:43:00
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,1.225,2,1,2011-04-26 16:45:00,2011-05-11 15:16:00
16248B,BLUE HOLE PUNCH,16.25,13,1.25,7,1,2011-03-07 17:52:00,2011-10-30 15:55:00
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,42.58,40,1.3088235294117647,7,1,2011-06-15 11:56:00,2011-11-30 14:17:00
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,178.97,472,0.5913559322033899,29,5,2010-12-01 12:23:00,2011-12-08 09:39:00
16259,PIECE OF CAMO STATIONERY SET,326.56,3380,0.0967741935483871,28,3,2011-03-17 15:03:00,2011-11-13 11:55:00
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,72,0.29,1,1,2011-02-28 14:48:00,2011-02-28 14:48:00
17003,BROCADE RING PURSE ,6036.39,23056,0.363099173553719,136,4,2010-12-01 14:32:00,2011-12-08 16:30:00
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.400000000000006,24,2.1,2,1,2010-12-06 13:01:00,2011-06-08 14:35:00
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,66.36000000000001,81,1.5728571428571427,6,2,2010-12-01 14:32:00,2011-05-19 12:10:00
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,375.93,323,1.9546969696969696,21,3,2010-12-01 14:32:00,2011-12-02 14:25:00
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,595.85,525,1.8828235294117646,33,3,2010-12-01 14:32:00,2011-11-30 14:17:00
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,484.34999999999997,421,1.7767441860465114,37,1,2010-12-01 14:32:00,2011-12-08 12:50:00
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,550.64,463,1.8204040404040405,35,3,2010-12-01 14:32:00,2011-12-08 16:30:00
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,74.64,68,2.151818181818182,3,2,2010-12-01 14:32:00,2010-12-15 15:34:00
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,530.6,448,1.7973404255319148,33,2,2010-12-01 14:32:00,2011-12-08 19:24:00
17013D,ORIGAMI ROSE INCENSE IN TUBE,267.82,535,1.2453846153846153,10,1,2010-12-08 14:25:00,2011-06-07 10:05:00
17014A,ORIGAMI VANILLA INCENSE CONES,71.19,155,0.9512499999999999,7,1,2010-12-01 17:06:00,2011-06-27 13:58:00
17021,NAMASTE SWAGAT INCENSE,643.14,2427,0.2947368421052632,30,2,2010-12-01 12:12:00,2011-12-05 12:59:00
17028J,INCENSE BAZAAR PEACH,2.52,6,0.42,1,1,2011-01-31 15:27:00,2011-01-31 15:27:00
17038,PORCELAIN BUDAH INCENSE HOLDER,158.06,1525,0.42,18,2,2010-12-07 13:50:00,2011-12-09 10:03:00
17084A,TRANQUILITY MASALA INCENSE,42.0,200,0.21,7,1,2011-01-31 15:27:00,2011-09-13 14:53:00
17084J,LOVE POTION MASALA INCENSE,47.25,225,0.21,8,1,2010-12-07 14:30:00,2011-09-13 14:53:00
17084N,FAIRY DREAMS INCENSE ,313.31,1264,0.3538613861386139,25,1,2010-12-01 17:06:00,2011-12-09 10:03:00
17084P,DRAGONS BLOOD INCENSE,104.44,423,0.3507692307692308,12,1,2010-12-01 17:06:00,2011-12-08 16:30:00
17084R,ASSORTED INCENSE PACK,760.3199999999999,4032,0.20259259259259257,16,2,2010-12-03 11:48:00,2011-12-05 12:30:00
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.44999999999999,109,1.17,9,2,2010-12-02 13:11:00,2011-11-24 10:24:00
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,29,1.25,6,1,2010-12-02 13:11:00,2011-07-11 11:38:00
17091A,LAVENDER INCENSE IN TIN,99.29,172,0.7815384615384615,19,1,2010-12-01 11:21:00,2011-05-18 11:58:00
17091J,VANILLA INCENSE IN TIN,920.67,2084,0.7027272727272726,66,4,2010-12-03 11:48:00,2011-12-09 11:20:00
17096,ASSORTED LAQUERED INCENSE HOLDERS,455.9800000000001,2545,0.3025,12,1,2010-12-08 14:25:00,2011-07-19 15:30:00
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",436.04999999999995,171,2.55,42,3,2010-12-03 12:24:00,2011-12-05 15:51:00
17109D,FLOWER FAIRY INCENSE BOUQUET,32.349999999999994,61,0.9039999999999999,4,1,2010-12-05 10:45:00,2011-04-21 12:34:00
17129F,BLUE GLASS GEMS IN BAG,553.8299999999999,588,1.37,11,1,2010-12-01 14:32:00,2011-12-05 17:24:00
17136A,BLUE STONES ON WIRE FOR CANDLE,33.75,404,0.0995,16,2,2011-02-01 13:25:00,2011-11-03 18:49:00
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,12.18,29,0.42000000000000004,9,1,2010-12-01 12:54:00,2011-01-26 14:51:00
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,1.05,6,1,2010-12-10 11:01:00,2011-01-12 15:22:00
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,0.42,3,2,2011-01-16 13:04:00,2011-11-24 15:01:00
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15.0,4,3.75,1,1,2011-11-13 11:39:00,2011-12-04 10:51:00
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,395.61,5884,0.27483870967741936,15,3,2010-12-06 10:18:00,2011-07-20 16:12:00
18094C,WHITE AND BLUE CERAMIC OIL BURNER,283.93,192,1.955952380952381,13,2,2010-12-06 13:47:00,2011-10-07 13:17:00
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,12.75,5,2.55,4,1,2010-12-02 13:49:00,2011-06-22 16:16:00
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1601.21,699,3.083835616438356,43,3,2010-12-02 13:49:00,2011-12-08 16:30:00
18098C,PORCELAIN BUTTERFLY OIL BURNER,921.87,265,3.9436507936507934,24,2,2010-12-01 14:32:00,2011-08-08 13:11:00
20615,BLUE POLKADOT PASSPORT COVER,466.99,309,2.5613684210526313,28,4,2010-12-02 19:18:00,2011-12-08 20:01:00
20616,CHERRY BLOSSOM PASSPORT COVER,243.53,194,1.8074647887323942,19,1,2010-12-01 14:41:00,2011-12-08 20:01:00
20617,FIRST CLASS PASSPORT COVER ,194.94,93,2.251860465116279,20,3,2010-12-01 17:06:00,2011-12-08 16:30:00
20618,QUEEN OF THE SKIES PASSPORT COVER ,286.39,148,2.0278947368421054,20,1,2010-12-08 12:46:00,2011-12-06 16:21:00
20619,TROPICAL PASSPORT COVER ,439.65,262,2.136767676767677,16,3,2010-12-01 17:06:00,2011-12-05 17:24:00
20622,VIPPASSPORT COVER ,305.8,186,2.4003846153846156,24,2,2010-12-01 14:32:00,2011-12-05 17:24:00
20652,BLUE POLKADOT LUGGAGE TAG ,350.61,268,1.5638271604938272,26,6,2010-12-03 14:54:00,2011-12-08 20:01:00
20653,CHERRY BLOSSOM LUGGAGE TAG,95.17999999999999,73,1.4815151515151515,5,2,2010-12-01 17:06:00,2011-12-05 17:17:00
20654,FIRST CLASS LUGGAGE TAG ,193.59,152,1.385,21,4,2010-12-10 11:01:00,2011-12-08 16:30:00
20655,QUEEN OF SKIES LUGGAGE TAG,292.29,197,1.7224242424242426,20,2,2010-12-03 11:28:00,2011-12-04 13:32:00
20657,TROPICAL LUGGAGE TAG,105.91,73,1.720909090909091,20,1,2010-12-03 14:54:00,2011-11-11 09:05:00
20658,RED RETROSPOT LUGGAGE TAG,653.36,434,1.7475925925925926,44,6,2010-12-01 14:32:00,2011-09-26 13:57:00
20659,ECONOMY LUGGAGE TAG,248.09,159,1.633846153846154,18,1,2010-12-05 15:12:00,2011-12-09 10:03:00
20661,BLUE POLKADOT PURSE ,141.15,44,3.397878787878788,3,1,2010-12-03 14:54:00,2011-12-01 16:22:00
20662,FIRST CLASS HOLIDAY PURSE ,90.42,31,2.879,4,2,2010-12-01 14:32:00,2011-10-24 17:07:00
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,66.26,25,2.693,3,1,2010-12-07 18:36:00,2011-10-17 13:31:00
20664,TROPICAL HOLIDAY PURSE ,81.66,32,2.5416666666666665,3,1,2010-12-12 12:08:00,2011-08-30 10:39:00
20665,RED RETROSPOT PURSE ,1546.2700000000002,461,4.068333333333333,58,7,2010-12-01 17:06:00,2011-12-09 10:03:00
20666,ECONOMY HOLIDAY PURSE,41.53,30,1.7123529411764706,4,1,2010-12-12 12:26:00,2011-07-20 16:12:00
20667,CHERRY BLOSSOM PURSE,49.69,20,2.490625,1,1,2011-05-31 11:39:00,2011-08-30 10:39:00
20668,DISCO BALL CHRISTMAS DECORATION,1512.92,12979,0.16364864864864864,111,5,2010-12-01 10:19:00,2011-12-09 10:51:00
20669,RED HEART LUGGAGE TAG,447.34,304,1.6915841584158415,36,2,2010-12-01 11:45:00,2011-12-09 10:26:00
20670,VIP HOLIDAY PURSE,44.04,14,3.2436363636363637,5,1,2010-12-12 12:08:00,2011-11-15 16:38:00
20671,BLUE TEATIME PRINT BOWL ,12.5,10,1.25,2,1,2010-12-05 13:55:00,2010-12-09 13:34:00
20674,GREEN POLKADOT BOWL,2032.48,1576,1.5602884615384616,101,12,2010-12-02 11:21:00,2011-12-08 15:31:00
20675,BLUE POLKADOT BOWL,3984.37,3121,1.5859384615384613,149,15,2010-12-02 12:47:00,2011-12-08 15:31:00
20676,RED RETROSPOT BOWL,6441.06,5076,1.6275657894736841,185,17,2010-12-01 14:32:00,2011-12-08 15:31:00
20677,PINK POLKADOT BOWL,4749.84,3676,1.647787610619469,133,16,2010-12-02 12:50:00,2011-12-08 15:31:00
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1.65,1,1,2011-09-23 14:49:00,2011-09-23 14:49:00
20679,EDWARDIAN PARASOL RED,10021.42,1710,7.003669724770643,141,13,2010-12-01 09:02:00,2011-12-09 10:26:00
20681,PINK POLKADOT CHILDRENS UMBRELLA,506.96,140,4.205744680851064,29,6,2010-12-01 17:06:00,2011-03-10 13:58:00
20682,RED RETROSPOT CHILDRENS UMBRELLA,4190.83,1241,4.015271966527196,138,11,2010-12-01 17:06:00,2011-12-08 09:20:00
20684,STRAWBERRY DREAM CHILDS UMBRELLA,273.81,81,3.5433333333333334,30,3,2010-12-01 14:32:00,2011-07-22 10:52:00
20685,DOORMAT RED RETROSPOT,28082.54,4092,8.951516452074392,329,17,2010-12-01 11:41:00,2011-12-09 12:49:00
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,932.42,270,3.8638461538461537,51,7,2010-12-03 11:36:00,2011-12-08 13:50:00
20694,FLORAL PINK MONSTER,187.54,43,5.078235294117647,9,3,2010-12-17 14:54:00,2011-11-22 15:41:00
20695,FLORAL BLUE MONSTER,21.25,5,4.25,4,1,2010-12-08 15:17:00,2011-11-17 15:08:00
20696,FLORAL SOFT CAR TOY,230.81,54,4.7219999999999995,10,4,2010-12-01 17:06:00,2011-11-11 13:06:00
20697,LITTLE GREEN MONSTER SOFT TOY,53.55,21,2.55,8,1,2010-12-01 14:37:00,2011-11-23 12:20:00
20698,LITTLE PINK MONSTER SOFT TOY,43.349999999999994,17,2.55,7,1,2011-01-11 12:41:00,2011-11-23 12:20:00
20699,MOUSEY LONG LEGS SOFT TOY,266.03,97,3.0048780487804874,11,2,2010-12-01 17:06:00,2011-12-05 17:36:00
20700,GREEN CAT FLORAL CUSHION COVER ,345.17,73,4.981111111111112,4,2,2010-12-01 17:06:00,2011-09-28 16:13:00
20701,PINK CAT FLORAL CUSHION COVER ,100.97,25,4.066666666666666,3,2,2010-12-23 16:06:00,2011-06-30 15:56:00
20702,PINK PADDED MOBILE,577.79,135,4.343953488372093,31,7,2010-12-05 13:42:00,2011-10-26 13:07:00
20703,BLUE PADDED SOFT MOBILE,4.25,1,4.25,1,1,2011-04-14 11:45:00,2011-04-14 11:45:00
20704,MR ROBOT SOFT TOY,697.7,216,5.847727272727273,38,8,2010-12-13 11:21:00,2011-12-09 10:46:00
20705,MRS ROBOT SOFT TOY,428.85,143,4.807142857142857,27,4,2010-12-14 12:59:00,2011-12-06 12:19:00
20707,CRAZY DAISY HEART DECORATION,468.39,464,1.0885906040268456,20,3,2010-12-01 12:43:00,2011-12-05 17:17:00
20711,JUMBO BAG TOYS ,11014.62,5007,3.1267175572519084,152,9,2010-12-01 14:11:00,2011-12-01 16:22:00
20712,JUMBO BAG WOODLAND ANIMALS,22092.42,9773,2.9266168009205984,248,18,2010-12-01 13:04:00,2011-12-09 10:26:00
20713,JUMBO BAG OWLS,23030.96,11444,2.7718590704647674,207,16,2010-12-01 11:45:00,2011-12-09 12:19:00
20716,PARTY FOOD SHOPPER BAG,469.63,400,1.3158108108108109,31,4,2010-12-06 09:58:00,2011-06-29 11:46:00
20717,STRAWBERRY SHOPPER BAG,3564.48,2857,1.6720095693779904,150,11,2010-12-01 11:45:00,2011-12-09 10:26:00
20718,RED RETROSPOT SHOPPER BAG,6613.04,4776,1.775645438898451,236,15,2010-12-01 17:06:00,2011-12-09 10:26:00
20719,WOODLAND CHARLOTTE BAG,16759.75,13308,1.207452830188679,238,17,2010-12-01 14:32:00,2011-12-09 10:23:00
20723,STRAWBERRY CHARLOTTE BAG,12552.4,9798,1.2002876712328765,230,12,2010-12-01 09:37:00,2011-12-09 10:23:00
20724,RED RETROSPOT CHARLOTTE BAG,21776.79,17765,1.1453486150907355,335,15,2010-12-01 14:32:00,2011-12-09 10:23:00
20725,LUNCH BAG RED RETROSPOT,36042.01,19553,2.127373040752351,532,19,2010-12-01 09:37:00,2011-12-09 12:23:00
20726,LUNCH BAG WOODLAND,18323.38,9933,2.1762247838616715,372,18,2010-12-01 11:21:00,2011-12-09 10:26:00
20727,LUNCH BAG  BLACK SKULL.,22421.21,12240,2.09847891566265,458,13,2010-12-01 11:29:00,2011-12-09 11:34:00
20728,LUNCH BAG CARS BLUE,21750.63,11817,2.0593526405451446,479,18,2010-12-01 11:29:00,2011-12-09 10:26:00
20731,POSY CANDY BAG,109.96,92,1.0925,8,1,2010-12-06 12:15:00,2011-06-20 14:48:00
20733,GOLD MINI TAPE MEASURE ,958.06,1236,0.8459134615384615,30,4,2010-12-01 14:32:00,2011-12-09 10:03:00
20734,SILVER MINI TAPE MEASURE ,271.21999999999997,158,1.7962962962962963,0,1,2010-12-03 14:27:00,2011-04-06 11:14:00
20735,BLACK MINI TAPE MEASURE ,625.8,623,1.1194642857142856,11,2,2010-12-01 14:32:00,2011-12-06 14:23:00
20748,KENSINGTON COFFEE SET,751.17,57,13.468235294117648,26,1,2010-12-05 13:42:00,2011-11-28 13:06:00
20749,ASSORTED COLOUR MINI CASES,12614.17,1770,8.064407216494846,239,18,2010-12-01 11:21:00,2011-12-09 09:38:00
20750,RED RETROSPOT MINI CASES,12642.93,1748,8.12139534883721,235,22,2010-12-01 11:49:00,2011-12-09 11:59:00
20751,FUNKY WASHING UP GLOVES ASSORTED,2108.7200000000003,1003,2.343526785714286,127,9,2010-12-02 15:46:00,2011-12-04 12:32:00
20752,BLUE POLKADOT WASHING UP GLOVES,935.1500000000001,414,2.413,91,7,2010-12-01 17:06:00,2011-11-27 14:50:00
20754,RETROSPOT RED WASHING UP GLOVES,3090.96,1458,2.5119155844155845,153,10,2010-12-01 12:43:00,2011-11-20 14:43:00
20755,BLUE PAISLEY POCKET BOOK,272.02,307,0.9880952380952381,44,4,2010-12-01 17:35:00,2011-12-07 12:26:00
20756,GREEN FERN POCKET BOOK,53.55,63,0.85,20,2,2011-01-20 14:13:00,2011-11-22 15:45:00
20757,RED DAISY POCKET BOOK ,144.29,167,0.9149999999999999,30,1,2010-12-02 14:09:00,2011-11-27 12:13:00
20758,ABSTRACT CIRCLES POCKET BOOK,137.7,162,0.85,35,1,2010-12-09 14:19:00,2011-12-07 13:53:00
20759,CHRYSANTHEMUM POCKET BOOK ,54.4,64,0.85,17,1,2010-12-02 14:09:00,2011-12-07 13:53:00
20760,GARDEN PATH POCKET BOOK,58.65,69,0.85,18,2,2010-12-02 14:09:00,2011-11-24 14:09:00
20761,BLUE PAISLEY SKETCHBOOK,517.22,123,4.429393939393939,46,4,2010-12-01 17:06:00,2011-12-07 12:21:00
20762,GREEN FERN SKETCHBOOK ,420.08,106,4.153214285714286,42,2,2010-12-06 10:08:00,2011-12-06 12:56:00
20763,DAISY SKETCHBOOK ,205.04,73,3.9829629629629633,24,2,2010-12-07 15:28:00,2011-12-06 12:15:00
20764,ABSTRACT CIRCLES SKETCHBOOK ,610.8100000000001,144,4.657820512820513,45,3,2010-12-05 13:00:00,2011-12-08 09:20:00
20765,CHRYSANTHEMUM SKETCHBOOK ,423.55,104,4.239180327868852,45,2,2010-12-01 17:24:00,2011-12-05 17:17:00
20766,GARDEN PATH SKETCHBOOK,501.07,124,4.427499999999999,41,5,2010-12-02 15:46:00,2011-12-04 15:00:00
20767,BLUE PAISLEY JOURNAL ,663.7099999999999,253,2.8604878048780487,50,5,2010-12-03 11:19:00,2011-12-06 14:35:00
20768,GREEN FERN JOURNAL ,441.12,177,2.6455357142857143,31,2,2010-12-01 16:57:00,2011-12-06 15:43:00
20769,DAISY JOURNAL ,217.55999999999997,80,2.7467647058823528,21,3,2010-12-06 12:06:00,2011-12-06 15:43:00
20770,ABSTRACT CIRCLE JOURNAL ,449.8,185,2.5002739726027396,24,3,2010-12-01 14:32:00,2011-11-27 11:47:00
20771,CHRYSANTHEMUM  JOURNAL,269.68,103,2.763170731707317,21,3,2010-12-05 16:41:00,2011-12-06 12:56:00
20772,GARDEN PATH JOURNAL,621.1899999999999,247,2.752153846153846,40,6,2010-12-01 12:43:00,2011-12-08 19:28:00
20773,BLUE PAISLEY NOTEBOOK,92.39999999999999,56,1.6499999999999997,21,1,2010-12-01 12:15:00,2011-09-12 13:43:00
20774,GREEN FERN NOTEBOOK,141.23999999999998,86,1.6406666666666667,21,2,2010-12-01 12:15:00,2011-10-04 16:33:00
20775,DAISY NOTEBOOK ,235.18999999999997,135,1.7169230769230768,19,1,2010-12-06 12:44:00,2011-12-05 17:24:00
20777,CHRYSANTHEMUM NOTEBOOK,282.48999999999995,169,1.7029999999999998,32,3,2010-12-01 12:15:00,2011-12-09 10:03:00
20778,GARDEN PATH NOTEBOOK ,24.75,15,1.65,8,1,2010-12-09 14:19:00,2011-04-26 13:22:00
